Date,Cell ID,Cell Number,Cell Path,Genotype,Cell Type,Exclude Sweep Start,Exclude Sweep Stop,Raw Peaks (nA),Filtered Peaks (nA),Rs (MOhms)
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2536, -0.2540,  6.6505
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2086, -0.2104,  6.6467
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2284, -0.2070,  6.6916
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2493, -0.2218,  6.7108
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2586, -0.2434,  6.7560
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.3265, -0.2660,  6.6437
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2908, -0.2841,  6.7176
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.3562, -0.2975,  6.7225
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.4166, -0.3034,  6.7346
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2802, -0.3036,  6.8275
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2744, -0.2993,  6.7025
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2669, -0.2940,  6.7174
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.3010, -0.2903,  6.7020
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.3148, -0.2886,  6.7426
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2902, -0.2870,  6.7151
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2768, -0.2817,  6.8165
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.3382, -0.2712,  6.8305
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.3016, -0.2554,  6.8036
2019-01-31,JH190131_c1,1,JH190131_c1/JH190131_c1_drug_1.ibw,OMP,E TC,,, -0.2789, -0.2492,  6.7640
