Date,Cell ID,Cell Number,Cell Path,Genotype,Cell Type,Exclude Sweep Start,Exclude Sweep Stop,Raw Peaks (nA),Filtered Peaks (nA),Rs (MOhms)
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0129, -0.0129, 19.1755
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0229, -0.0100, 19.7001
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0159, -0.0090, 20.1354
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0109, -0.0086, 20.5402
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0158, -0.0084, 20.9189
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0090, -0.0073, 21.4979
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0069, -0.0059, 20.7717
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0125, -0.0057, 20.6713
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0146, -0.0052, 21.6562
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0161, -0.0047, 23.2389
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0116, -0.0048, 23.4295
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0096, -0.0044, 24.0819
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0081, -0.0044, 24.0783
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0072, -0.0048, 22.8571
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0102, -0.0047, 23.3209
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0154, -0.0046, 23.3141
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0092, -0.0044, 24.8625
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0085, -0.0044, 25.3952
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0069, -0.0045, 25.7061
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0079, -0.0046, 25.9034
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0097, -0.0047, 25.0689
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0138, -0.0046, 25.3735
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0095, -0.0046, 25.0729
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0109, -0.0045, 25.7533
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0075, -0.0043, 25.9766
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0101, -0.0040, 25.0258
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0070, -0.0038, 24.8301
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0084, -0.0041, 24.0442
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0217, -0.0047, 22.8682
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0294, -0.0051, 22.3570
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0065, -0.0048, 22.1202
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0099, -0.0036, 22.2086
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0085, -0.0027, 22.3470
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0053, -0.0027, 21.3915
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0065, -0.0026, 21.4748
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0068, -0.0031, 21.1932
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0075, -0.0032, 20.7034
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0084, -0.0027, 20.2127
2018-12-21,JH181221_c2,2,JH181221_c2/JH181221_c2_drug_1.ibw,Gg8,MC,,, -0.0069, -0.0027, 21.0526
